player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Joe Licata,Buffalo,,3,2012,2015,823.0,1359.0,,9485.0,76.0,,,,80.0,,,,,
Ben Bennett,Duke,,3,1980,1983,820.0,1375.0,,9614.0,,57.0,1582.0,,,,,,228.9,
Bret Meyer,Iowa State,,3,2004,2007,820.0,1414.0,,9499.0,,41.0,1923.0,10422.0,,,,,,
Seth Doege,Texas Tech,144.9,3,2009,2012,819.0,,69.0,,69.0,,,,,,,,278.6,6.7
Pete Thomas,Louisiana-Monroe,,4,2010,2014,817.0,1315.0,62.1,,,,1616.0,,,,,,,
Charlie Whitehurst,Clemson,,3,2002,2005,817.0,1368.0,,9665.0,,46.0,1634.0,9763.0,,,,,,
Deshaun Watson,Clemson,157.5,2,2014,2016,814.0,1207.0,67.4,10163.0,90.0,,1642.0,12097.0,116.0,8.4,8.7,,267.4,7.4
Andy Dalton,TCU,,3,2007,2010,812.0,1317.0,61.7,10314.0,71.0,,1730.0,11925.0,93.0,,,,,6.9
Desmond Ridder,Cincinnati,145.8,3,2018,2021,810.0,1304.0,62.1,10239.0,87.0,,1806.0,12418.0,117.0,,8.2,,,6.9
Paul Smith,Tulsa,149.4,4,2003,2007,808.0,1292.0,62.5,10936.0,83.0,,1620.0,11602.0,111.0,8.5,8.5,,232.7,7.2
Danny Wimprine,Memphis,,3,2001,2004,808.0,1469.0,,10215.0,81.0,49.0,1748.0,10634.0,93.0,,,,,
Walter Church,Eastern Michigan,,4,1996,2000,807.0,1441.0,,9142.0,,46.0,1657.0,,,,,,,
Matt Leinart,USC,159.5,2,2003,2005,807.0,1245.0,64.8,10693.0,99.0,,,10623.0,109.0,8.6,9.3,,274.2,7.7
Chad Pennington,Marshall,156.2,2,1997,1999,807.0,1265.0,63.8,10698.0,100.0,,,10716.0,104.0,8.5,9.0,,297.2,7.5
Matt Ryan,Boston College,,3,2004,2007,807.0,1347.0,,9313.0,,,1515.0,,,,,,,
Alex McGough,Florida International,,3,2014,2017,806.0,1335.0,,,,,1643.0,,81.0,,,,,
Peyton Ramsey,Northwestern,,3,2017,2020,805.0,1234.0,65.2,,,,1618.0,,,,,,,
Kellen Mond,Texas A&M,,3,2017,2020,801.0,1358.0,,9661.0,71.0,,1796.0,11269.0,93.0,,,,,
Robert Griffin III,Baylor,158.9,3,2008,2011,800.0,,67.1,10366.0,78.0,,1720.0,12620.0,111.0,8.7,9.4,,252.8,7.3
Rudy Carpenter,Arizona State,,3,2005,2008,799.0,1309.0,,10491.0,81.0,,1580.0,10196.0,83.0,,8.0,,,
Troy Kopp,Pacific,,3,1989,1992,798.0,1374.0,,10258.0,87.0,47.0,1596.0,10025.0,90.0,,,,256.5,
Patrick Ramsey,Tulane,,3,1998,2001,798.0,1355.0,,9205.0,72.0,51.0,1507.0,,,,,,263.0,
Tim Couch,Kentucky,,2,1996,1998,795.0,,67.1,,74.0,,,,,,,,290.9,
Steven Jyles,Louisiana-Monroe,,3,2002,2005,795.0,1473.0,,,,43.0,1909.0,10234.0,,,,,,
