player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Mitchell Trubisky,2017,8,"['Bears', 'Steelers', 'Bills']",0,,47.317,64.1,85.5,1202,1875,12541,72,171,,2.6,,129,5,8
Colin Kaepernick,2011,6,['49ers'],0,,43.349,59.8,88.9,1011,1692,12271,72,177,,1.8,,171,7,7
Tyrod Taylor,2011,14,"['Bills', 'Browns', 'Chargers', 'Giants', 'Texans', 'Jets', 'Ravens']",0,,75.295,61.8,88.5,1074,1738,12171,66,130,,1.7,,177,5,6
Rick Mirer,,11,[],0,,,53.3,63.5,1088,2043,11969,50,149,76,3.7,,199,8,9
Tom Flores,,10,[],1,,,48.9,67.6,838,1715,11959,93,112,92,5.4,5,175,9,8
Bob Waterfield,,8,[],1,,,50.3,61.6,814,1617,11849,97,130,128,7.9,5,,7,6
Jay Fiedler,,11,[],0,,,58.7,77.1,1008,1717,11844,69,155,66,3.8,8,114,8,9
Cotton Davidson,,15,[],0,,,43.9,54.9,770,1752,11760,73,105,108,6.2,5,110,5,
Vince Ferragamo,,10,[],0,,,55.9,70.1,902,1615,11336,76,151,91,5.6,5,94,5,5
Mike Livingston,,12,[],0,,,52.1,63.3,912,1751,11295,56,124,83,4.7,4,152,6,7
Jacoby Brissett,2016,9,"['Colts', 'Commanders', 'Patriots', 'Dolphins', 'Browns']",0,,54.72,61.1,84.5,1060,1735,11270,53,134,,1.4,4,147,4,5
Tony Eason,,8,[],0,,,58.2,79.7,911,1564,11142,61,123,51,3.3,,177,7,8
Tim Couch,1999,5,"['Browns', 'Packers']",0,,33.064,59.8,75.1,1025,1714,11131,64,179,67,3.9,8,166,10,11
Charlie Batch,,15,[],0,,,56.6,77.2,908,1604,11085,61,136,52,3.2,,161,9,11
Gardner Minshew II,,6,[],0,,,63.3,89.8,990,1563,10951,63,202,,1.9,,120,7,7
Brian Hoyer,2009,15,"['49ers', 'Colts', 'Patriots', 'Texans', 'Raiders', 'Browns', 'Bears', 'Cardinals', 'Steelers']",0,,38.798,59.3,82.0,925,1560,10899,53,138,,2.4,,90,6,6
Derek Anderson,2005,13,"['Browns', 'Panthers', 'Cardinals', 'Bills', 'Ravens']",0,,29.406,54.3,70.4,909,1674,10878,60,139,64,3.8,9,,5,7
Frankie Albert,,7,[],0,,,53.1,73.5,831,1564,10795,115,119,98,6.3,,,5,7
Billy Joe Tolliver,,11,[],0,,,52.2,67.7,891,1707,10760,59,136,64,3.7,5,125,5,5
Eric Hipple,,10,[],0,,,53.7,68.7,830,1546,10711,55,105,70,4.5,6,160,4,
Byron Leftwich,,10,[],0,,,57.9,78.9,930,1605,10532,58,175,,2.6,,92,7,10
Mike Phipps,,12,[],0,,,49.2,52.6,886,1799,10506,55,88,108,6.0,,172,12,12
George Ratterman,,10,[],0,,,,,737,1396,10473,91,,96,,,,,
Steve Bono,,15,[],0,,,54.9,75.3,934,1701,10439,62,118,,2.5,5,,6,5
Tommy Thompson,,11,[],0,,,,,732,1424,10385,91,,103,,,,,6
Zeke Bratkowski,,18,[],0,,,,,762,1484,10345,65,,122,,8,94,5,7
Frank Tripucka,,15,[],0,,,50.4,52.2,879,1745,10282,69,137,124,7.1,12,,8,8
Dave Brown,,10,[],0,,,54.6,67.9,892,1634,10248,44,140,58,3.5,6,181,,
Jack Trudeau,,10,[],0,,,53.1,63.3,873,1644,10243,,152,69,4.2,4,103,10,10
Rex Grossman,,9,['Browns'],0,,0.05,55.2,71.4,863,1562,10232,56,189,60,3.8,5,92,6,9
Mark Malone,,10,[],0,,,50.9,61.9,839,1648,10175,60,139,81,4.9,,86,4,7
Blaine Gabbert,2011,13,"['Jaguars', 'Buccaneers', '49ers', 'Titans', 'Chiefs', 'Cardinals']",0,,27.762,56.3,71.7,882,1568,9487,51,137,50,3.2,7,141,8,8
Vince Evans,,19,[],0,,,,,704,1390,9485,52,,74,,6,118,,5
Bobby Thomason,,9,[],0,,,,,687,1346,9480,68,,90,,,,4,5
Lamar McHan,,10,[],0,,,,,610,1442,9449,73,,108,,4,,6,6
Gary Hogeboom,,10,[],0,,,,,743,1325,9436,49,,60,,9,118,4,6
Mike Pagel,,12,[],0,,,50.1,63.3,756,1509,9414,49,71,63,4.2,4,115,6,8
Pat Haden,,6,[],0,,,,,731,1363,9296,52,,60,,,115,5,8
Robert Griffin III,2012,9,"['Commanders', 'Browns', 'Ravens']",0,,33.719,,,799,1268,9271,,,,,,131,4,5
Bob Berry,,11,[],0,,,,,661,1173,9197,64,,64,,4,193,4,5
Vince Young,2006,6,"['Titans', 'Eagles', 'Bills']",0,,34.77,,,755,1304,8964,46,,51,,,83,7,13
Mac Jones,2021,4,['Patriots'],0,,12.801,,,869,1316,8940,46,,,,6,85,,
Kyle Boller,,9,[],0,,,56.7,69.5,861,1519,8931,48,133,54,3.6,5,123,4,6
John Friesz,,11,[],0,,,,,745,1364,8699,45,,,,,,7,7
Jim Finks,,7,[],1,,,,,661,1382,8622,55,,88,,7,,8,9
David Woodley,,6,[],0,,,,,687,1300,8558,48,,63,,6,84,,5
Rudy Bukich,,16,[],0,,,,,626,1190,8433,61,,74,,8,88,7,5
Randy Johnson,,11,[],0,,,,,647,1286,8329,51,,90,,7,152,,
Shaun Hill,2002,12,"['Lions', 'Vikings', '49ers', 'Rams']",0,,26.456,,,757,1225,8295,49,,,,,84,4,5
Pete Beathard,,10,[],0,,,,,,1282,8176,,,84,,5,87,,
James Harris,,11,[],0,,,,,607,1149,8136,45,,59,,,101,6,9
Tommy Maddox,,14,[],0,,,,,686,1200,8087,48,,54,,7,94,,
Arnie Herber,,16,[],1,,,,,,1175,8041,81,,106,,,,,
Colt McCoy,2010,13,"['Commanders', 'Cardinals', 'Giants', 'Browns']",0,,26.268,,,764,1220,7975,,,,,,113,,5
Steve Walsh,,11,[],0,,,,,713,1317,7875,,,50,,7,,4,9
Kent Graham,,10,[],0,,,,,694,1339,7801,,,,,,100,8,9
Trevor Siemian,2015,9,"['Jets', 'Bears', 'Vikings', 'Broncos', 'Saints', 'Bengals', 'Titans']",0,,9.523,,,707,1208,7751,44,,,,5,85,5,
Al Dorow,,9,[],0,,,,,,1207,7708,64,,93,,5,,5,5
Justin Fields,2021,4,['Bears'],0,,15.639,,,670,,7635,45,,,,4,148,,
Craig Erickson,,6,[],0,,,,,591,,7625,,,,,4,82,,
Matt Moore,2007,13,"['Dolphins', 'Panthers', 'Chiefs', 'Cowboys']",0,,25.769,,,645,,7597,49,,,,4,87,6,8
Brock Osweiler,2012,7,"['Texans', 'Browns', 'Broncos', 'Dolphins']",0,,41.397,,,697,1165,7418,,,,,,,5,5
Gary Cuozzo,,10,[],0,,,,,,1182,7402,,,55,,,114,4,5
Paul Christman,,6,[],0,,,,,,1140,7294,58,,76,,,,4,
Tarvaris Jackson,2015,10,"['Seahawks', 'Bills']",0,,2.0,,,640,,7263,,,,,,90,,
Steve Fuller,,8,[],0,,,,,605,,7156,,,,,,152,6,8
Dick Wood,,5,[],0,,,,,,1194,7153,51,,71,,,,,
Mike Glennon,2013,,"['Bears', 'Cardinals', 'Buccaneers', 'Raiders', 'Giants', 'Jaguars', 'Dolphins']",0,,29.487,,,689,1147,,47,,,,,83,,
Christian Ponder,2011,,"['Vikings', 'Raiders', '49ers', 'Broncos']",0,,12.546,,,632,,,,,,,7,95,,
Jim Miller,,,[],0,,,,,610,,,,,,,,,5,6
Taylor Heinicke,2015,,"['Falcons', 'Commanders', 'Vikings', 'Panthers', 'Texans', 'Patriots']",0,,15.71,,,606,,,,,,,,,5,5
Randy Wright,,,[],0,,,,,602,1119,,,,57,,6,85,,
Steve Spurrier,,,[],0,,,,,597,1151,,,,60,,5,85,,
Bobby Douglass,,,[],0,,,,,,1178,,,,64,,4,180,,
Bob Avellini,,,[],0,,,,,,1110,,,,69,,,110,7,10
Jack Concannon,,,[],0,,,,,,1110,,,,63,,,91,,
Benny Friedman,,,[],1,,,,,,,,66,,,,,,,
Adrian Burk,,,[],0,,,,,,,,61,,89,,4,,4,
Cecil Isbell,,,[],0,,,,,,,,61,,52,,,,,
Jim Hardy,,,[],0,,,,,,,,54,,73,,,,,
Brock Purdy,2022,,['49ers'],0,,1.652,,,,,,50,,,,,,,
Red Dunn,,,[],0,,,,,,,,48,,,,,,,
Frank Filchock,,,[],0,,,,,,,,47,,79,,,,,
Jacky Lee,,,[],0,,,,,,,,46,,57,,5,,,
Glenn Dobbs,,,[],0,,,,,,,,45,,52,,,,,
Don Strock,,,[],0,,,,,,,,45,,,,,,7,8
Roy Zimmerman,,,[],0,,,,,,,,44,,70,,,,,
King Hill,,,[],0,,,,,,,,,,71,,7,,,
Dennis Shaw,,,[],0,,,,,,,,,,68,,,124,6,5
Parker Hall,,,[],0,,,,,,,,,,67,,,,,
Jim Ninowski,,,[],0,,,,,,,,,,67,,4,,,
Joe Kapp,,,[],0,,,,,,,,,,64,,7,109,4,
George Shaw,,,[],0,,,,,,,,,,63,,,,,
Mike Taliaferro,,,[],0,,,,,,,,,,63,,,,,
Steve Ramsey,,,[],0,,,,,,,,,,58,,4,110,,5
Bob Hoernschemeyer,,,[],0,,,,,,,,,,56,,,,,
Dave Wilson,,,[],0,,,,,,,,,,55,,,99,,
Scott Brunner,,,[],0,,,,,,,,,,54,,5,,4,7
Johnny Lujack,,,[],0,,,,,,,,,,54,,,,,
Fred Enke,,,[],0,,,,,,,,,,53,,,,,
Irv Comp,,,[],0,,,,,,,,,,52,,,,,
Ralph Guglielmi,,,[],0,,,,,,,,,,52,,,,,
Charlie O'Rourke,,,[],0,,,,,,,,,,51,,,,,
David Whitehurst,,,[],0,,,,,,,,,,51,,4,99,,
Marty Domres,,,[],0,,,,,,,,,,50,,4,,,
Gary Huff,,,[],0,,,,,,,,,,50,,,82,,
Ace Parker,,,[],1,,,,,,,,,,50,,,,,
Bud Schwenk,,,[],0,,,,,,,,,,50,,,,,
Rob Johnson,1995,,"['Bills', 'Commanders', 'Jaguars', 'Buccaneers', 'Raiders']",0,,21.495,,,,,,,,,,,140,4,
Hugh Millen,,,[],0,,,,,,,,,,,,,126,,5
Zach Wilson,2021,,['Jets'],0,,32.424,,,,,,,,,,,113,5,5
Joe Pisarcik,,,[],0,,,,,,,,,,,,4,112,,
J.P. Losman,,,[],0,,,,,,,,,,,,,108,,6
Damon Huard,,,[],0,,,,,,,,,,,,,94,6,8
Dick Shiner,,,[],0,,,,,,,,,,,,5,94,,
Bob Lee,,,[],0,,,,,,,,,,,,,93,,5
David Archer,,,[],0,,,,,,,,,,,,,89,,
David Klingler,,,[],0,,,,,,,,,,,,,87,,
Jack Thompson,,,[],0,,,,,,,,,,,,,85,,
Steve Tensi,,,[],0,,,,,,,,,,,,5,82,,
Don Trull,,,[],0,,,,,,,,,,,,5,,,
Ty Detmer,,,[],0,,,,,,,,,,,,6,,5,6
Trent Edwards,,,[],0,,,,,,,,,,,,6,,4,5
A.J. Feeley,,,[],0,,,,,,,,,,,,6,,,5
Ryan Leaf,,,[],0,,,,,,,,,,,,6,,,
Kellen Clemens,2014,,['Chargers'],0,,5.145,,,,,,,,,,5,,,
Scott Hunter,,,[],0,,,,,,,,,,,,5,,6,9
George Izo,,,[],0,,,,,,,,,,,,5,,,
Danny Kanell,,,[],0,,,,,,,,,,,,5,,,
Mike McMahon,,,[],0,,,,,,,,,,,,5,,,
Chris Redman,,,[],0,,,,,,,,,,,,5,,,
Josh Rosen,2018,,"['Cardinals', 'Dolphins', 'Falcons', 'Buccaneers', '49ers', 'Browns', 'Vikings']",0,,18.785,,,,,,,,,,5,,,
Chris Weinke,,,[],0,,,,,,,,,,,,5,,,
Tony Adams,,,[],0,,,,,,,,,,,,4,,,
Todd Blackledge,,,[],0,,,,,,,,,,,,4,,,
Todd Bouman,,,[],0,,,,,,,,,,,,4,,,
Stoney Case,,,[],0,,,,,,,,,,,,4,,,
Austin Davis,2012,,"['Browns', 'Broncos', 'Rams', 'Seahawks', 'Titans', 'Dolphins']",0,,5.214,,,,,,,,,,4,,,
Ken Dorsey,,,[],0,,,,,,,,,,,,4,,,
Matt Flynn,2008,,"['Seahawks', 'Raiders', 'Packers', 'Saints', 'Bills', 'Jets', 'Patriots']",0,,17.759,,,,,,,,,,4,,4,
Bob Gagliano,,,[],0,,,,,,,,,,,,4,,,
George Herring,,,[],0,,,,,,,,,,,,4,,,
Kelly Holcomb,,,[],0,,,,,,,,,,,,4,,,
Sam Howell,2022,,['Commanders'],0,,1.937,,,,,,,,,,4,,,
