player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Tom Brady,2000,23,"['Patriots', 'Buccaneers']",0,184.0,317.62,64.3,97.2,7753,12050,89214,649,266,212,1.8,18,565,46,58
Drew Brees,2001,20,"['Saints', 'Chargers']",0,167.0,273.933,67.7,98.7,7142,10551,80358,571,280,243,2.3,27,420,36,53
Peyton Manning,1998,18,"['Colts', 'Broncos']",1,176.0,247.714,65.3,96.5,6125,9380,71940,539,270,251,2.7,27,303,43,54
Brett Favre,1991,20,"['Packers', 'Vikings', 'Jets', 'Falcons']",1,158.0,141.407,62.0,86.0,6300,10169,71838,508,237,336,3.3,32,525,28,43
Ben Roethlisberger,2004,18,['Steelers'],0,131.0,266.724,64.4,93.5,5440,8443,64088,418,257,211,2.5,18,554,41,53
Philip Rivers,2004,17,"['Chargers', 'Colts']",0,149.0,242.15,64.9,95.2,5277,8134,63440,421,260,209,2.6,25,464,29,35
Matt Ryan,2008,15,"['Falcons', 'Colts']",0,146.0,306.206,65.6,93.6,5551,8464,62792,381,268,183,2.2,20,488,38,46
Dan Marino,1983,17,['Dolphins'],1,145.0,51.0,59.4,86.4,4967,8358,61361,420,253,252,3.0,29,270,33,47
Aaron Rodgers,2005,20,"['Packers', 'Jets']",0,163.0,343.531,65.2,103.0,5112,7843,60148,482,254,109,1.4,5,544,21,32
Matthew Stafford,,16,[],0,121.0,,63.3,90.9,4952,7824,57285,360,271,183,2.3,30,490,36,45
Eli Manning,2004,16,['Giants'],0,121.0,232.49,60.3,84.1,4895,8119,57023,366,241,244,3.0,22,411,27,37
John Elway,1983,16,['Broncos'],1,140.0,47.445,56.9,79.9,4123,7250,51475,300,220,226,3.1,18,516,31,40
Warren Moon,,17,[],1,116.0,,58.4,80.9,3988,6823,49325,291,237,233,3.4,16,458,25,35
Fran Tarkenton,,18,[],1,148.0,,57.0,80.4,3686,6467,47003,342,191,266,4.1,12,570,29,33
Carson Palmer,2003,14,"['Bengals', 'Cardinals', 'Raiders']",0,107.0,172.5,62.5,87.9,3941,6307,46247,294,254,187,3.0,23,340,22,35
Vinny Testaverde,,21,[],0,97.0,,56.5,75.0,3787,6701,46233,275,198,267,4.0,23,417,29,33
Drew Bledsoe,1993,14,"['Patriots', 'Bills', 'Cowboys']",0,105.0,79.656,57.2,77.1,3839,6717,44611,251,230,206,3.1,15,467,24,31
Joe Flacco,2008,17,"['Ravens', 'Broncos', 'Jets', 'Eagles', 'Colts', 'Browns']",0,95.0,177.435,61.7,84.5,4053,6573,44463,250,234,155,2.4,13,392,20,26
Russell Wilson,2012,12,"['Seahawks', 'Broncos']",0,136.0,305.34,64.7,100.0,3668,5665,43653,334,232,106,1.9,7,527,31,39
Dan Fouts,,15,[],1,123.0,,58.8,80.2,3297,5604,43040,254,237,242,4.3,12,319,21,23
Kerry Collins,,17,[],0,,,55.7,73.8,3487,6261,40922,208,206,196,3.1,20,337,21,30
Kirk Cousins,2012,13,"['Vikings', 'Falcons', 'Commanders']",0,94.0,281.469,66.9,98.0,3584,5354,40844,278,263,115,2.1,14,314,25,31
Joe Montana,,16,[],1,125.0,,63.2,92.3,3409,5391,40551,273,211,139,2.6,6,313,26,28
Johnny Unitas,,18,[],1,113.0,,54.6,78.2,2830,5186,40239,290,190,253,4.9,17,307,34,38
Derek Carr,2014,11,"['Raiders', 'Saints']",0,,165.519,65.1,92.5,3666,5634,40089,250,244,111,2.0,17,300,28,34
Andy Dalton,2011,14,"['Bengals', 'Bears', 'Panthers', 'Saints', 'Cowboys']",0,,106.514,62.5,87.7,3477,5560,39186,251,226,146,2.6,18,353,25,29
Dave Krieg,,19,[],0,97.0,,58.5,81.5,3105,5311,38147,261,179,199,3.7,12,494,23,25
Boomer Esiason,,14,[],0,106.0,,57.0,81.1,2969,5205,37920,247,202,184,3.5,11,318,19,26
Donovan McNabb,1999,13,"['Eagles', 'Commanders', 'Vikings']",0,107.0,96.921,59.0,85.6,3170,5374,37276,234,223,117,2.2,7,410,16,24
Matt Hasselbeck,1998,17,"['Seahawks', 'Titans', 'Colts', 'Packers']",0,,88.163,60.5,82.4,3222,5330,36638,212,175,153,2.9,13,360,15,24
Alex Smith,2005,16,"['49ers', 'Commanders', 'Chiefs']",0,98.0,210.0,62.6,86.9,3250,5193,35650,199,204,109,2.1,8,432,19,23
Jim Kelly,,11,[],1,103.0,,60.1,84.4,2874,4779,35467,237,221,175,3.7,12,323,21,28
Jay Cutler,2006,12,"['Bears', 'Broncos', 'Dolphins']",0,,127.875,62.0,85.3,3048,4920,35133,227,229,160,3.3,19,322,23,28
Ryan Fitzpatrick,2005,17,"['Bills', 'Jets', 'Dolphins', 'Commanders', 'Buccaneers', 'Texans', 'Titans', 'Bengals', 'Rams']",0,,80.558,60.7,82.3,3072,5060,34990,223,210,169,3.3,13,300,13,18
Ryan Tannehill,2012,12,"['Titans', 'Dolphins']",0,,195.051,64.3,91.2,3063,4764,34881,216,225,115,2.4,10,415,26,27
Jim Everett,,12,[],0,,,57.7,78.6,2841,4923,34837,203,220,175,3.6,13,257,11,14
Jim Hart,,19,[],0,95.0,,51.1,66.6,2593,5076,34665,209,172,247,4.9,12,282,20,23
Steve DeBerg,,21,[],0,,,57.2,74.2,2874,5024,34241,196,166,204,4.1,20,296,19,24
Tony Romo,2003,13,['Cowboys'],0,95.0,127.42,65.3,97.1,2829,4335,34183,248,219,117,2.7,13,248,24,29
John Hadl,,16,[],0,106.0,,50.4,67.4,2363,4687,33503,244,149,268,5.7,13,284,15,15
Phil Simms,,15,[],0,,,55.4,78.5,2576,4647,33462,199,204,157,3.4,13,477,11,17
Steve Young,1985,15,"['49ers', 'Buccaneers']",1,132.0,49.372,64.3,96.8,2667,4149,33124,232,196,107,2.6,4,358,13,16
Y.A. Tittle,,17,[],1,,,55.2,74.3,2427,4395,33070,242,162,248,5.6,9,167,24,23
Troy Aikman,1989,12,['Cowboys'],1,96.0,55.537,61.5,81.6,2898,4715,32942,165,199,141,3.0,12,259,15,20
Ken Anderson,,16,[],0,120.0,,59.3,81.9,2654,4475,32838,197,171,160,3.6,8,398,10,14
Cam Newton,2011,11,"['Panthers', 'Patriots']",0,115.0,134.735,59.9,85.2,2682,4474,32382,194,218,123,2.7,12,332,16,20
Kurt Warner,1997,12,"['Cardinals', 'Rams', 'Giants', 'Packers']",1,96.0,63.859,65.5,93.7,2666,4070,32344,208,260,128,3.1,15,260,7,11
Sonny Jurgensen,,18,[],1,105.0,,57.1,82.6,2433,4262,32224,255,147,189,4.4,15,294,18,14
Mark Brunell,1993,18,"['Jaguars', 'Commanders', 'Saints', 'Jets', 'Packers']",0,96.0,70.638,59.5,84.0,2761,4640,32072,184,166,108,2.3,14,390,16,22
John Brodie,,17,[],0,99.0,,55.0,72.3,2469,4491,31548,214,157,224,5.0,13,207,21,22
Jared Goff,2016,9,"['Lions', 'Rams']",0,,233.996,64.9,93.6,2745,4231,31444,190,259,86,2.0,9,224,14,17
Steve McNair,1995,13,"['Titans', 'Ravens']",0,99.0,76.984,60.1,82.8,2733,4544,31304,174,194,119,2.6,13,254,15,21
Dak Prescott,2016,9,['Cowboys'],0,,239.896,66.9,98.7,2720,4064,30883,210,259,78,1.9,9,247,15,23
Norm Snead,,16,[],0,,,52.3,65.5,2276,4353,30797,196,173,257,5.9,22,350,14,19
Randall Cunningham,,17,[],0,110.0,,56.6,81.5,2429,4289,29979,207,186,134,3.1,5,484,19,24
