player_id,player_name,weight,height,school,grade
23193,Shaun King,,,Tulane,
23220,Brock Huard,,,Washington,
23244,Joe Germaine,,,Ohio State,
23274,Aaron Brooks,,,Virginia,
23294,Kevin Daft,,,UC Davis,
23370,Michael Bishop,,,Kansas State,
800,Chad Pennington,,,Marshall,
23399,Giovanni Carmazzi,,,Hofstra,
23497,Tee Martin,,,Tennessee,
23502,Marc Bulger,,,West Virginia,
23517,Spergon Wynn,,,Texas State,
23533,Tom Brady,,,Michigan,
23536,Todd Husak,,,Stanford,
23539,JaJuan Seider,,,Florida A&M,
23546,Tim Rattay,,,Louisiana Tech,
23548,Jarious Jackson,,,Notre Dame,
23568,Joe Hamilton,,,Georgia Tech,
25,Michael Vick,215.0,,Virginia Tech,
2,Drew Brees,215.0,,Purdue,
3,Quincy Carter,220.0,,Georgia,
24,Marques Tuiasosopo,220.0,,Washington,
26,Chris Weinke,226.0,,Florida State,
22,Sage Rosenfels,229.0,,Iowa State,
20,Jesse Palmer,227.0,,Florida,
17,Mike McMahon,206.0,,Rutgers,
7,A.J. Feeley,220.0,,Oregon,
1,Josh Booty,221.0,,LSU,
12,Josh Heupel,215.0,,Oklahoma,
4184,David Carr,223.0,,Fresno State,
4193,Joey Harrington,220.0,,Oregon,
4205,Patrick Ramsey,224.0,,Tulane,
4198,Josh McCown,217.0,,Sam Houston State,
4191,David Garrard,235.0,,East Carolina,
4188,Rohan Davey,245.0,,LSU,
4190,Randy Fasani,235.0,,Stanford,
4195,Kurt Kittner,219.0,,Illinois,
4189,Brandon Doman,210.0,,BYU,
4200,Craig Nall,220.0,,Northwestern State,
4202,J.T. O'Sullivan,220.0,,UC Davis,
4182,Seth Burford,240.0,,Cal Poly,
4709,Jeff Kelly,207.0,,Southern Mississippi,
4187,Ronald Curry,220.0,,North Carolina,
4203,Wes Pate,225.0,,Stephen F. Austin,
7035,Carson Palmer,232.0,,USC,
7033,Byron Leftwich,241.0,,Marshall,
7021,Kyle Boller,234.0,,California,
7028,Rex Grossman,217.0,,Florida,
7037,Dave Ragone,249.0,,Louisville,
7039,Chris Simms,220.0,,Texas,
7043,Seneca Wallace,196.0,,Iowa State,
7040,Brian St. Pierre,218.0,,Boston College,
7250,Drew Henson,,,Michigan,
7022,Brooks Bollinger,203.0,,Wisconsin,
7032,Kliff Kingsbury,208.0,,Texas Tech,
7029,Gibran Hamdan,219.0,,Indiana,
7025,Ken Dorsey,205.0,,Miami,
7841,Eli Manning,221.0,76.75,Ole Miss,98.0
7842,Philip Rivers,224.0,76.75,NC State,95.0
7840,Ben Roethlisberger,241.0,76.875,Miami (OH),99.0
7843,J.P. Losman,224.0,74.25,Tulane,89.0
7844,Matt Schaub,233.0,77.5,Virginia,80.0
7853,Luke McCown,208.0,75.875,Louisiana Tech,60.0
7859,Craig Krenzel,228.0,75.5,Ohio State,43.0
7867,Andrew Hall,220.0,74.0,Delaware,20.0
7846,Josh Harris,234.0,73.0,Bowling Green,68.0
7869,Jim Sorgi,207.0,75.375,Wisconsin,30.0
7850,Jeff Smoker,225.0,75.25,Michigan State,54.0
7845,John Navarre,246.0,78.0,Michigan,59.0
7847,Cody Pickett,230.0,75.875,Washington,66.0
7858,Casey Bramlet,225.0,75.75,Wyoming,30.0
7848,Matt Mauck,228.0,73.625,LSU,52.0
7852,JARED LORENZEN,288.0,75.375,Kentucky,57.0
7855,ROD RUTHERFORD,240.0,73.625,Pittsburgh,48.0
7849,RYAN DINWIDDIE,192.0,72.5,Boise State,45.0
7854,CASEY CLAUSEN,223.0,75.5,Tennessee,39.0
7856,SCOTT RISLOV,224.0,73.0,San José State,36.0
7862,JASON FIFE,226.0,75.875,Oregon,34.0
7861,ROBERT KENT,230.0,76.5,Jackson State,32.0
7870,ADAM HALL,215.0,74.125,San Diego State,31.0
9077,Alex Smith,217.0,76.125,Utah,98.0
8743,Aaron Rodgers,223.0,74.0,California,99.0
8754,Jason Campbell,230.0,76.75,Auburn,86.0
8747,Charlie Frye,225.0,75.875,Akron,85.0
8746,Andrew Walter,233.0,78.125,Arizona State,84.0
8749,David Greene,226.0,75.5,Georgia,70.0
8748,Kyle Orton,233.0,76.0,Purdue,79.0
8769,Stefan LeFors,208.0,72.125,Louisville,59.0
8768,Dan Orlovsky,225.0,77.0,UConn,67.0
9112,Adrian McPherson,218.0,75.5,Florida State,68.0
