Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
David Carr,14452.0,2002-2012,4TM,1353.0,2267.0,65.0,74.9,71.0,267.0,1564.0,,153.7,59.7%,3.1%,7.0,,11.0,4.0,tm,0.0,11.0,2002.0,2012.0,49.09,141.494,"{'Texans': 36.0, 'Giants': 5.115, 'Panthers': 4.1, '49ers': 3.875}",both
David Carr,,2002-2012,htx,,,,,,,,7.0,,,,,,,1.0,HTX,0.0,11.0,2002.0,2012.0,49.09,141.494,"{'Texans': 36.0, 'Giants': 5.115, 'Panthers': 4.1, '49ers': 3.875}",both
Bubby Brister,14445.0,1986-2000,5TM,1207.0,2212.0,81.0,72.3,78.0,193.0,1625.0,,145.9,54.6%,3.5%,9.0,,11.0,5.0,tm,0.0,15.0,,,,,,left_only
Bubby Brister,,1986-2000,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,15.0,,,,,,left_only
Marc Wilson,14391.0,1980-1990,2TM,1085.0,2081.0,86.0,67.7,102.0,210.0,1510.0,,114.2,52.1%,4.9%,9.0,,12.0,2.0,tm,0.0,11.0,,,,,,left_only
Nick Foles,14227.0,2012-2022,6TM,1302.0,2087.0,82.0,86.2,,127.0,875.0,,200.4,62.4%,2.3%,11.0,,13.0,6.0,tm,0.0,11.0,2012.0,2022.0,83.756,120.35,"{'Jaguars': 30.125, 'Bears': 18.4, 'Eagles': 17.339, 'Rams': 12.042, 'Colts': 4.1, 'Chiefs': 1.75}",both
Nick Foles,,2012-2022,3TM,,,,,,,,5.0,,,,,,,3.0,tm,0.0,11.0,2012.0,2022.0,83.756,120.35,"{'Jaguars': 30.125, 'Bears': 18.4, 'Eagles': 17.339, 'Rams': 12.042, 'Colts': 4.1, 'Chiefs': 1.75}",both
Bill Nelsen,14165.0,1963-1972,2TM,963.0,1905.0,98.0,70.2,101.0,146.0,1314.0,10.0,157.4,50.6%,5.3%,8.0,,8.0,2.0,tm,0.0,10.0,,,,,,left_only
Josh Freeman,13873.0,2009-2015,3TM,1179.0,2048.0,81.0,77.6,68.0,112.0,690.0,,223.8,57.6%,3.3%,9.0,,10.0,3.0,tm,0.0,7.0,2009.0,2015.0,28.329,58.252,"{'Buccaneers': 26.2, 'Vikings': 2.0, 'Giants': 0.065, 'Colts': 0.044, 'Dolphins': 0.02}",both
Josh Freeman,,2009-2015,tam,,,,,,,,6.0,,,,,,,1.0,TAM,0.0,7.0,2009.0,2015.0,28.329,58.252,"{'Buccaneers': 26.2, 'Vikings': 2.0, 'Giants': 0.065, 'Colts': 0.044, 'Dolphins': 0.02}",both
Gary Danielson,13764.0,1976-1988,2TM,1105.0,1932.0,81.0,76.6,78.0,183.0,1446.0,4.0,136.3,57.2%,4.0%,5.0,,11.0,2.0,tm,0.0,13.0,,,,,,left_only
Daniel Jones,13650.0,2019-2024,nyg,1335.0,2078.0,68.0,85.3,,191.0,1198.0,,210.0,64.2%,2.1%,7.0,,9.0,1.0,NYG,0.0,6.0,2019.0,9999.0,72.129,87.181,{'Giants': 72.129},both
Eddie LeBaron,13399.0,1952-1963,2TM,898.0,1796.0,104.0,61.4,141.0,,1404.0,10.0,100.0,50.0%,7.9%,13.0,,13.0,2.0,tm,0.0,12.0,,,,,,left_only
Chad Henne,13290.0,2008-2022,3TM,1200.0,2015.0,60.0,76.1,63.0,151.0,942.0,,170.4,59.6%,3.1%,4.0,,5.0,3.0,tm,0.0,15.0,2008.0,2022.0,39.675,68.466,"{'Jaguars': 24.25, 'Chiefs': 11.95, 'Dolphins': 3.475}",both
Chad Henne,,2008-2022,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,15.0,2008.0,2022.0,39.675,68.466,"{'Jaguars': 24.25, 'Chiefs': 11.95, 'Dolphins': 3.475}",both
Sam Darnold,13175.0,2018-2024,4TM,1169.0,1948.0,74.0,80.1,60.0,163.0,1067.0,,185.6,60.0%,3.1%,,,5.0,4.0,tm,0.0,7.0,2018.0,9999.0,60.116,77.604,"{'Jets': 25.733, 'Panthers': 23.633, 'Vikings': 6.25, '49ers': 4.5}",both
Sam Darnold,,2018-2024,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,7.0,2018.0,9999.0,60.116,77.604,"{'Jets': 25.733, 'Panthers': 23.633, 'Vikings': 6.25, '49ers': 4.5}",both
Tua Tagovailoa,13122.0,2020-2024,mia,1136.0,1700.0,83.0,96.4,,94.0,,5.0,238.6,66.8%,2.4%,7.0,,9.0,1.0,MIA,0.0,5.0,2020.0,9999.0,72.275,80.302,{'Dolphins': 72.275},both
Bill Munson,12896.0,1964-1979,5TM,1070.0,1982.0,84.0,71.5,80.0,192.0,1409.0,,120.5,54.0%,4.0%,8.0,,8.0,5.0,tm,0.0,16.0,,,,,,left_only
Trevor Lawrence,12870.0,2021-2024,jax,1209.0,1906.0,64.0,85.3,,106.0,743.0,,234.0,63.4%,2.2%,5.0,,7.0,1.0,JAX,0.0,4.0,2021.0,9999.0,68.616,79.588,{'Jaguars': 68.616},both
Don Majkowski,12700.0,1987-1996,3TM,1056.0,1905.0,66.0,72.9,67.0,180.0,1058.0,8.0,141.1,55.4%,3.5%,10.0,,13.0,3.0,tm,0.0,10.0,,,,,,left_only
Jalen Hurts,12694.0,2020-2024,phi,1090.0,1710.0,71.0,90.7,,126.0,745.0,4.0,192.3,63.7%,2.2%,7.0,,9.0,1.0,PHI,0.0,5.0,2020.0,9999.0,28.898,33.558,{'Eagles': 28.898},both
Mitchell Trubisky,12541.0,2017-2024,3TM,1202.0,1875.0,72.0,85.5,,129.0,808.0,,171.8,64.1%,2.6%,5.0,,8.0,3.0,tm,0.0,8.0,2017.0,9999.0,47.317,64.441,"{'Bears': 29.032, 'Steelers': 14.285, 'Bills': 4.0}",both
Colin Kaepernick,12271.0,2011-2016,sfo,1011.0,1692.0,72.0,88.9,,171.0,1060.0,,177.8,59.8%,1.8%,7.0,,7.0,1.0,SFO,0.0,6.0,2011.0,2016.0,43.349,78.437,{'49ers': 43.349},both
Tyrod Taylor,12171.0,2011-2024,7TM,1074.0,1738.0,66.0,88.5,,177.0,1006.0,,130.9,61.8%,1.7%,5.0,,6.0,7.0,tm,0.0,14.0,2011.0,9999.0,75.295,107.668,"{'Bills': 26.15, 'Browns': 16.0, 'Chargers': 11.0, 'Giants': 11.0, 'Texans': 5.0, 'Jets': 4.0, 'Ravens': 2.145}",both
Rick Mirer,11969.0,1993-2003,5TM,1088.0,2043.0,50.0,63.5,76.0,199.0,1038.0,,149.6,53.3%,3.7%,8.0,,9.0,5.0,tm,0.0,11.0,,,,,,left_only
Tom Flores,11959.0,1960-1969,3TM,838.0,1715.0,93.0,67.6,92.0,175.0,1576.0,,112.8,48.9%,5.4%,9.0,,8.0,3.0,tm,1.0,10.0,,,,,,left_only
Tom Flores,,1960-1969,rai,,,,,,,,5.0,,,,,,,1.0,RAI,1.0,10.0,,,,,,left_only
Bob Waterfield,11849.0,1945-1952,ram,814.0,1617.0,97.0,61.6,128.0,,,5.0,130.2,50.3%,7.9%,7.0,,6.0,1.0,RAM,1.0,8.0,,,,,,left_only
Jay Fiedler,11844.0,1995-2005,5TM,1008.0,1717.0,69.0,77.1,66.0,114.0,734.0,,155.8,58.7%,3.8%,8.0,,9.0,5.0,tm,0.0,11.0,,,,,,left_only
Jay Fiedler,,1995-2005,mia,,,,,,,,8.0,,,,,,,1.0,MIA,0.0,11.0,,,,,,left_only
Cotton Davidson,11760.0,1954-1968,3TM,770.0,1752.0,73.0,54.9,108.0,110.0,945.0,,105.9,43.9%,6.2%,5.0,,,3.0,tm,0.0,15.0,,,,,,left_only
Cotton Davidson,,1954-1968,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,15.0,,,,,,left_only
Vince Ferragamo,11336.0,1977-1986,3TM,902.0,1615.0,76.0,70.1,91.0,94.0,770.0,5.0,151.1,55.9%,5.6%,5.0,,5.0,3.0,tm,0.0,10.0,,,,,,left_only
Mike Livingston,11295.0,1968-1979,kan,912.0,1751.0,56.0,63.3,83.0,152.0,1392.0,4.0,124.1,52.1%,4.7%,6.0,,7.0,1.0,KAN,0.0,12.0,,,,,,left_only
Jacoby Brissett,11270.0,2016-2024,5TM,1060.0,1735.0,53.0,84.5,,147.0,925.0,,134.2,61.1%,1.4%,4.0,,5.0,5.0,tm,0.0,9.0,2016.0,9999.0,54.72,69.758,"{'Colts': 30.74, 'Commanders': 8.0, 'Patriots': 6.08, 'Dolphins': 5.0, 'Browns': 4.9}",both
Jacoby Brissett,,2016-2024,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,9.0,2016.0,9999.0,54.72,69.758,"{'Colts': 30.74, 'Commanders': 8.0, 'Patriots': 6.08, 'Dolphins': 5.0, 'Browns': 4.9}",both
Tony Eason,11142.0,1983-1990,2TM,911.0,1564.0,61.0,79.7,51.0,177.0,1350.0,,123.8,58.2%,3.3%,7.0,,8.0,2.0,tm,0.0,8.0,,,,,,left_only
Tim Couch,11131.0,1999-2003,cle,1025.0,1714.0,64.0,75.1,67.0,166.0,1119.0,8.0,179.5,59.8%,3.9%,10.0,,11.0,1.0,CLE,0.0,5.0,1999.0,2003.0,33.064,130.048,"{'Browns': 32.439, 'Packers': 0.625}",both
Charlie Batch,11085.0,1998-2012,2TM,908.0,1604.0,61.0,77.2,52.0,161.0,890.0,,136.9,56.6%,3.2%,9.0,,11.0,2.0,tm,0.0,15.0,,,,,,left_only
Gardner Minshew II,10951.0,2019-2024,4TM,990.0,1563.0,63.0,89.8,,120.0,683.0,,202.8,63.3%,1.9%,7.0,,7.0,4.0,tm,0.0,6.0,,,,,,left_only
Brian Hoyer,10899.0,2009-2023,8TM,925.0,1560.0,53.0,82.0,,90.0,652.0,,138.0,59.3%,2.4%,6.0,,6.0,8.0,tm,0.0,15.0,2009.0,2023.0,38.798,59.069,"{'49ers': 10.676, 'Colts': 7.0, 'Patriots': 5.538, 'Texans': 5.094, 'Raiders': 4.258, 'Browns': 4.015, 'Bears': 2.0, 'Cardinals': 0.109, 'Steelers': 0.109}",both
Derek Anderson,10878.0,2006-2018,4TM,909.0,1674.0,60.0,70.4,64.0,,,9.0,139.5,54.3%,3.8%,5.0,,7.0,4.0,tm,0.0,13.0,2005.0,2018.0,29.406,59.288,"{'Browns': 15.479, 'Panthers': 9.588, 'Cardinals': 3.488, 'Bills': 0.775, 'Ravens': 0.077}",both
Frankie Albert,10795.0,1946-1952,sfo,831.0,1564.0,115.0,73.5,98.0,,1096.0,,119.9,53.1%,6.3%,5.0,,7.0,1.0,SFO,0.0,7.0,,,,,,left_only
Billy Joe Tolliver,10760.0,1989-1999,5TM,891.0,1707.0,59.0,67.7,64.0,125.0,877.0,,136.2,52.2%,3.7%,5.0,,5.0,5.0,tm,0.0,11.0,,,,,,left_only
Billy Joe Tolliver,,1989-1999,3TM,,,,,,,,5.0,,,,,,,3.0,tm,0.0,11.0,,,,,,left_only
Eric Hipple,10711.0,1980-1989,det,830.0,1546.0,55.0,68.7,70.0,160.0,1188.0,6.0,105.0,53.7%,4.5%,4.0,,,1.0,DET,0.0,10.0,,,,,,left_only
Byron Leftwich,10532.0,2003-2012,4TM,930.0,1605.0,58.0,78.9,,92.0,,,175.5,57.9%,2.6%,7.0,,10.0,4.0,tm,0.0,10.0,,,,,,left_only
Mike Phipps,10506.0,1970-1981,2TM,886.0,1799.0,55.0,52.6,108.0,172.0,1514.0,,88.3,49.2%,6.0%,12.0,,12.0,2.0,tm,0.0,12.0,,,,,,left_only
George Ratterman,10473.0,1947-1956,3TM,737.0,1396.0,91.0,,96.0,,,,,,,,,,3.0,tm,0.0,10.0,,,,,,left_only
Steve Bono,10439.0,1985-1999,7TM,934.0,1701.0,62.0,75.3,,,,,118.6,54.9%,2.5%,6.0,,5.0,7.0,tm,0.0,15.0,,,,,,left_only
Steve Bono,,1985-1999,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,15.0,,,,,,left_only
Tommy Thompson,10385.0,1940-1950,2TM,732.0,1424.0,91.0,,103.0,,,,,,,,,6.0,2.0,tm,0.0,11.0,,,,,,left_only
Zeke Bratkowski,10345.0,1954-1971,3TM,762.0,1484.0,65.0,,122.0,94.0,1073.0,8.0,,,,5.0,,7.0,3.0,tm,0.0,18.0,,,,,,left_only
Frank Tripucka,10282.0,1949-1963,4TM,879.0,1745.0,69.0,52.2,124.0,,1048.0,,137.1,50.4%,7.1%,8.0,,8.0,4.0,tm,0.0,15.0,,,,,,left_only
Frank Tripucka,,1949-1963,2TM,,,,,,,,12.0,,,,,,,2.0,tm,0.0,15.0,,,,,,left_only
Dave Brown,10248.0,1992-2001,2TM,892.0,1634.0,44.0,67.9,58.0,181.0,1005.0,6.0,140.4,54.6%,3.5%,,,,2.0,tm,0.0,10.0,,,,,,left_only
Jack Trudeau,10243.0,1986-1995,3TM,873.0,1644.0,,63.3,69.0,103.0,717.0,,152.9,53.1%,4.2%,10.0,,10.0,3.0,tm,0.0,10.0,,,,,,left_only
Jack Trudeau,,1986-1995,clt,,,,,,,,4.0,,,,,,,1.0,CLT,0.0,10.0,,,,,,left_only
Rex Grossman,10232.0,2003-2011,3TM,863.0,1562.0,56.0,71.4,60.0,92.0,698.0,,189.5,55.2%,3.8%,6.0,,9.0,3.0,tm,0.0,9.0,9999.0,9999.0,0.05,0.096,{'Browns': 0.05},both
Rex Grossman,,2003-2011,chi,,,,,,,,5.0,,,,,,,1.0,CHI,0.0,9.0,9999.0,9999.0,0.05,0.096,{'Browns': 0.05},both
Mark Malone,10175.0,1980-1989,3TM,839.0,1648.0,60.0,61.9,81.0,86.0,671.0,,139.4,50.9%,4.9%,4.0,,7.0,3.0,tm,0.0,10.0,,,,,,left_only
Blaine Gabbert,9487.0,2011-2023,6TM,882.0,1568.0,51.0,71.7,50.0,141.0,942.0,,137.5,56.3%,3.2%,8.0,,8.0,6.0,tm,0.0,13.0,2011.0,2023.0,27.762,47.601,"{'Jaguars': 9.99, 'Buccaneers': 7.038, '49ers': 6.062, 'Titans': 2.5, 'Chiefs': 1.318, 'Cardinals': 0.855}",both
Blaine Gabbert,,2011-2023,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,13.0,2011.0,2023.0,27.762,47.601,"{'Jaguars': 9.99, 'Buccaneers': 7.038, '49ers': 6.062, 'Titans': 2.5, 'Chiefs': 1.318, 'Cardinals': 0.855}",both
Vince Evans,9485.0,1977-1995,2TM,704.0,1390.0,52.0,,74.0,118.0,904.0,6.0,,,,,,5.0,2.0,tm,0.0,19.0,,,,,,left_only
Bobby Thomason,9480.0,1949-1957,3TM,687.0,1346.0,68.0,,90.0,,907.0,,,,,4.0,,5.0,3.0,tm,0.0,9.0,,,,,,left_only
Lamar McHan,9449.0,1954-1963,4TM,610.0,1442.0,73.0,,108.0,,893.0,4.0,,,,6.0,,6.0,4.0,tm,0.0,10.0,,,,,,left_only
Gary Hogeboom,9436.0,1980-1989,3TM,743.0,1325.0,49.0,,60.0,118.0,890.0,9.0,,,,4.0,,6.0,3.0,tm,0.0,10.0,,,,,,left_only
Mike Pagel,9414.0,1982-1993,3TM,756.0,1509.0,49.0,63.3,63.0,115.0,837.0,,71.3,50.1%,4.2%,6.0,,8.0,3.0,tm,0.0,12.0,,,,,,left_only
Mike Pagel,,1982-1993,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,12.0,,,,,,left_only
Pat Haden,9296.0,1976-1981,ram,731.0,1363.0,52.0,,60.0,115.0,888.0,,,,,5.0,,8.0,1.0,RAM,0.0,6.0,,,,,,left_only
Robert Griffin III,9271.0,2012-2020,3TM,799.0,1268.0,,,,131.0,895.0,,,,,4.0,,5.0,3.0,tm,0.0,9.0,2012.0,2020.0,33.719,62.33,"{'Commanders': 21.119, 'Browns': 7.5, 'Ravens': 5.1}",both
Bob Berry,9197.0,1965-1975,2TM,661.0,1173.0,64.0,,64.0,193.0,1393.0,4.0,,,,4.0,,5.0,2.0,tm,0.0,11.0,,,,,,left_only
Vince Young,8964.0,2006-2011,2TM,755.0,1304.0,46.0,,51.0,83.0,,,,,,7.0,,13.0,2.0,tm,0.0,6.0,2006.0,2011.0,34.77,76.647,"{'Titans': 30.42, 'Eagles': 4.0, 'Bills': 0.35}",both
Mac Jones,8940.0,2021-2024,2TM,869.0,1316.0,46.0,,,85.0,,,,,,,,,2.0,tm,0.0,4.0,2021.0,9999.0,12.801,17.131,{'Patriots': 12.801},both
Mac Jones,,2021-2024,nwe,,,,,,,,6.0,,,,,,,1.0,NWE,0.0,4.0,2021.0,9999.0,12.801,17.131,{'Patriots': 12.801},both
Kyle Boller,8931.0,2003-2011,3TM,861.0,1519.0,48.0,69.5,54.0,123.0,802.0,5.0,133.3,56.7%,3.6%,4.0,,6.0,3.0,tm,0.0,9.0,,,,,,left_only
John Friesz,8699.0,1990-2000,4TM,745.0,1364.0,45.0,,,,,,,,,7.0,,7.0,4.0,tm,0.0,11.0,,,,,,left_only
Jim Finks,8622.0,1949-1955,pit,661.0,1382.0,55.0,,88.0,,,7.0,,,,8.0,,9.0,1.0,PIT,1.0,7.0,,,,,,left_only
David Woodley,8558.0,1980-1985,2TM,687.0,1300.0,48.0,,63.0,84.0,,6.0,,,,,,5.0,2.0,tm,0.0,6.0,,,,,,left_only
Rudy Bukich,8433.0,1953-1968,4TM,626.0,1190.0,61.0,,74.0,88.0,928.0,,,,,7.0,,5.0,4.0,tm,0.0,16.0,,,,,,left_only
Rudy Bukich,,1953-1968,chi,,,,,,,,8.0,,,,,,,1.0,CHI,0.0,16.0,,,,,,left_only
Randy Johnson,8329.0,1966-1976,4TM,647.0,1286.0,51.0,,90.0,152.0,1302.0,,,,,,,,4.0,tm,0.0,11.0,,,,,,left_only
Randy Johnson,,1966-1976,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,11.0,,,,,,left_only
Shaun Hill,8295.0,2005-2016,4TM,757.0,1225.0,49.0,,,84.0,,,,,,4.0,,5.0,4.0,tm,0.0,12.0,2002.0,2016.0,26.456,54.884,"{'Lions': 10.5, 'Vikings': 8.076, '49ers': 6.13, 'Rams': 1.75}",both
Pete Beathard,8176.0,1964-1973,4TM,,1282.0,,,84.0,87.0,801.0,,,,,,,,4.0,tm,0.0,10.0,,,,,,left_only
Pete Beathard,,1964-1973,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,10.0,,,,,,left_only
James Harris,8136.0,1969-1979,3TM,607.0,1149.0,45.0,,59.0,101.0,874.0,,,,,6.0,,9.0,3.0,tm,0.0,11.0,,,,,,left_only
Tommy Maddox,8087.0,1992-2005,4TM,686.0,1200.0,48.0,,54.0,94.0,,,,,,,,,4.0,tm,0.0,14.0,,,,,,left_only
Tommy Maddox,,1992-2005,pit,,,,,,,,7.0,,,,,,,1.0,PIT,0.0,14.0,,,,,,left_only
Arnie Herber,8041.0,1930-1945,2TM,,1175.0,81.0,,106.0,,,,,,,,,,2.0,tm,1.0,16.0,,,,,,left_only
Colt McCoy,7975.0,2010-2022,5TM,764.0,1220.0,,,,113.0,701.0,,,,,,,5.0,5.0,tm,0.0,13.0,2010.0,2022.0,26.268,38.696,"{'Commanders': 14.745, 'Cardinals': 7.212, 'Giants': 2.25, 'Browns': 2.061}",both
Steve Walsh,7875.0,1989-1999,6TM,713.0,1317.0,,,50.0,,,,,,,4.0,,9.0,6.0,tm,0.0,11.0,,,,,,left_only
Steve Walsh,,1989-1999,4TM,,,,,,,,7.0,,,,,,,4.0,tm,0.0,11.0,,,,,,left_only
Kent Graham,7801.0,1992-2001,4TM,694.0,1339.0,,,,100.0,679.0,,,,,8.0,,9.0,4.0,tm,0.0,10.0,,,,,,left_only
Trevor Siemian,7751.0,2015-2023,4TM,707.0,1208.0,44.0,,,85.0,,,,,,5.0,,,4.0,tm,0.0,9.0,2015.0,2023.0,9.523,13.127,"{'Jets': 2.399, 'Bears': 2.035, 'Vikings': 1.907, 'Broncos': 1.628, 'Saints': 1.282, 'Bengals': 0.152, 'Titans': 0.12}",both
Trevor Siemian,,2015-2023,3TM,,,,,,,,5.0,,,,,,,3.0,tm,0.0,9.0,2015.0,2023.0,9.523,13.127,"{'Jets': 2.399, 'Bears': 2.035, 'Vikings': 1.907, 'Broncos': 1.628, 'Saints': 1.282, 'Bengals': 0.152, 'Titans': 0.12}",both
Al Dorow,7708.0,1954-1962,4TM,,1207.0,64.0,,93.0,,922.0,,,,,5.0,,5.0,4.0,tm,0.0,9.0,,,,,,left_only
Al Dorow,,1954-1962,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,9.0,,,,,,left_only
Justin Fields,7635.0,2021-2024,2TM,670.0,,45.0,,,148.0,997.0,,,,,,,,2.0,tm,0.0,4.0,2021.0,9999.0,15.639,20.998,{'Bears': 15.639},both
Justin Fields,,2021-2024,chi,,,,,,,,4.0,,,,,,,1.0,CHI,0.0,4.0,2021.0,9999.0,15.639,20.998,{'Bears': 15.639},both
Craig Erickson,7625.0,1992-1997,3TM,591.0,,,,,82.0,,,,,,,,,3.0,tm,0.0,6.0,,,,,,left_only
Craig Erickson,,1992-1997,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,6.0,,,,,,left_only
Matt Moore,7597.0,2007-2019,3TM,645.0,,49.0,,,87.0,,,,,,6.0,,8.0,3.0,tm,0.0,13.0,2007.0,2020.0,25.769,48.802,"{'Dolphins': 19.425, 'Panthers': 4.158, 'Chiefs': 2.171, 'Cowboys': 0.015}",both
Matt Moore,,2007-2019,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,13.0,2007.0,2020.0,25.769,48.802,"{'Dolphins': 19.425, 'Panthers': 4.158, 'Chiefs': 2.171, 'Cowboys': 0.015}",both
Brock Osweiler,7418.0,2012-2018,3TM,697.0,1165.0,,,,,,,,,,5.0,,5.0,3.0,tm,0.0,7.0,2012.0,2018.0,41.397,67.273,"{'Texans': 21.0, 'Browns': 15.225, 'Broncos': 4.292, 'Dolphins': 0.88}",both
Gary Cuozzo,7402.0,1963-1972,4TM,,1182.0,,,55.0,114.0,854.0,,,,,4.0,,5.0,4.0,tm,0.0,10.0,,,,,,left_only
Paul Christman,7294.0,1945-1950,2TM,,1140.0,58.0,,76.0,,,,,,,4.0,,,2.0,tm,0.0,6.0,,,,,,left_only
Tarvaris Jackson,7263.0,2006-2015,2TM,640.0,,,,,90.0,,,,,,,,,2.0,tm,0.0,10.0,2015.0,2015.0,2.0,3.712,"{'Seahawks': 1.5, 'Bills': 0.5}",both
Steve Fuller,7156.0,1979-1986,2TM,605.0,,,,,152.0,1048.0,,,,,6.0,,8.0,2.0,tm,0.0,8.0,,,,,,left_only
Dick Wood,7153.0,1962-1966,5TM,,1194.0,51.0,,71.0,,,,,,,,,,5.0,tm,0.0,5.0,,,,,,left_only
Mike Glennon,,2013-2021,6TM,689.0,1147.0,47.0,,,83.0,,,,,,,,,6.0,tm,0.0,9.0,2013.0,2022.0,29.487,44.996,"{'Bears': 16.0, 'Cardinals': 5.0, 'Buccaneers': 3.947, 'Raiders': 1.95, 'Giants': 1.375, 'Jaguars': 1.153, 'Dolphins': 0.062}",both
Christian Ponder,,2011-2014,min,632.0,,,,,95.0,,7.0,,,,,,,1.0,MIN,0.0,4.0,2011.0,2016.0,12.546,25.283,"{'Vikings': 10.159, 'Raiders': 1.5, '49ers': 0.8, 'Broncos': 0.088}",both
Jim Miller,,1995-2002,2TM,610.0,,,,,,,,,,,5.0,,6.0,2.0,tm,0.0,8.0,,,,,,left_only
Taylor Heinicke,,2017-2024,5TM,606.0,,,,,,,,,,,5.0,,5.0,5.0,tm,0.0,8.0,2015.0,9999.0,15.71,19.517,"{'Falcons': 8.28, 'Commanders': 5.798, 'Vikings': 0.79, 'Panthers': 0.689, 'Texans': 0.123, 'Patriots': 0.03}",both
Randy Wright,,1984-1988,gnb,602.0,1119.0,,,57.0,85.0,,6.0,,,,,,,1.0,GNB,0.0,5.0,,,,,,left_only
Steve Spurrier,,1967-1976,2TM,597.0,1151.0,,,60.0,85.0,666.0,5.0,,,,,,,2.0,tm,0.0,10.0,,,,,,left_only
Bobby Douglass,,1969-1978,4TM,,1178.0,,,64.0,180.0,1335.0,,,,,,,,4.0,tm,0.0,10.0,,,,,,left_only
Bobby Douglass,,1969-1978,2TM,,,,,,,,4.0,,,,,,,2.0,tm,0.0,10.0,,,,,,left_only
Bob Avellini,,1975-1984,chi,,1110.0,,,69.0,110.0,961.0,,,,,7.0,,10.0,1.0,CHI,0.0,10.0,,,,,,left_only
Jack Concannon,,1964-1975,4TM,,1110.0,,,63.0,91.0,752.0,,,,,,,,4.0,tm,0.0,12.0,,,,,,left_only
Benny Friedman,,1927-1934,4TM,,,66.0,,,,,,,,,,,,4.0,tm,1.0,8.0,,,,,,left_only
Adrian Burk,,1950-1956,2TM,,,61.0,,89.0,,991.0,,,,,4.0,,,2.0,tm,0.0,7.0,,,,,,left_only
Adrian Burk,,1950-1956,phi,,,,,,,,4.0,,,,,,,1.0,PHI,0.0,7.0,,,,,,left_only
Cecil Isbell,,1938-1942,gnb,,,61.0,,52.0,,,,,,,,,,1.0,GNB,0.0,5.0,,,,,,left_only
Jim Hardy,,1946-1952,3TM,,,54.0,,73.0,,,,,,,,,,3.0,tm,0.0,7.0,,,,,,left_only
Brock Purdy,,2022-2024,sfo,,,50.0,,,,,,,,,,,,1.0,SFO,0.0,3.0,2022.0,9999.0,1.652,1.948,{'49ers': 1.652},both
Red Dunn,,1924-1931,3TM,,,48.0,,,,,,,,,,,,3.0,tm,0.0,8.0,,,,,,left_only
Frank Filchock,,1938-1950,4TM,,,47.0,,79.0,,,,,,,,,,4.0,tm,0.0,13.0,,,,,,left_only
Jacky Lee,,1960-1969,3TM,,,46.0,,57.0,,714.0,5.0,,,,,,,3.0,tm,0.0,10.0,,,,,,left_only
Glenn Dobbs,,1946-1949,2TM,,,45.0,,52.0,,,,,,,,,,2.0,tm,0.0,4.0,,,,,,left_only
Don Strock,,1974-1988,2TM,,,45.0,,,,,,,,,7.0,,8.0,2.0,tm,0.0,15.0,,,,,,left_only
Roy Zimmerman,,1940-1948,4TM,,,44.0,,70.0,,,,,,,,,,4.0,tm,0.0,9.0,,,,,,left_only
King Hill,,1958-1969,3TM,,,,,71.0,,,,,,,,,,3.0,tm,0.0,12.0,,,,,,left_only
King Hill,,1958-1969,2TM,,,,,,,,7.0,,,,,,,2.0,tm,0.0,12.0,,,,,,left_only
Dennis Shaw,,1970-1975,2TM,,,,,68.0,124.0,1072.0,,,,,6.0,,5.0,2.0,tm,0.0,6.0,,,,,,left_only
Parker Hall,,1939-1946,2TM,,,,,67.0,,,,,,,,,,2.0,tm,0.0,8.0,,,,,,left_only
Jim Ninowski,,1958-1969,4TM,,,,,67.0,,874.0,,,,,,,,4.0,tm,0.0,12.0,,,,,,left_only
Jim Ninowski,,1958-1969,3TM,,,,,,,,4.0,,,,,,,3.0,tm,0.0,12.0,,,,,,left_only
Joe Kapp,,1967-1970,2TM,,,,,64.0,109.0,907.0,7.0,,,,4.0,,,2.0,tm,0.0,4.0,,,,,,left_only
George Shaw,,1955-1962,4TM,,,,,63.0,,,,,,,,,,4.0,tm,0.0,8.0,,,,,,left_only
Mike Taliaferro,,1964-1972,3TM,,,,,63.0,,826.0,,,,,,,,3.0,tm,0.0,9.0,,,,,,left_only
Steve Ramsey,,1970-1976,2TM,,,,,58.0,110.0,792.0,,,,,,,5.0,2.0,tm,0.0,7.0,,,,,,left_only
