Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
Ryan Fitzpatrick,34990.0,2005-2021,9TM,3072.0,5060.0,223.0,82.3,169.0,300.0,1576.0,,210.8,60.7%,3.3%,13.0,,18.0,9.0,tm,0.0,17.0,2005.0,2021.0,80.558,141.637,"{'Bills': 27.225, 'Jets': 15.25, 'Dolphins': 13.5, 'Commanders': 9.062, 'Buccaneers': 6.3, 'Texans': 4.0, 'Titans': 3.25, 'Bengals': 1.362, 'Rams': 0.608}",both
Ryan Fitzpatrick,,2005-2021,6TM,,,,,,,,13.0,,,,,,,6.0,tm,0.0,17.0,2005.0,2021.0,80.558,141.637,"{'Bills': 27.225, 'Jets': 15.25, 'Dolphins': 13.5, 'Commanders': 9.062, 'Buccaneers': 6.3, 'Texans': 4.0, 'Titans': 3.25, 'Bengals': 1.362, 'Rams': 0.608}",both
Ryan Tannehill,34881.0,2012-2023,2TM,3063.0,4764.0,216.0,91.2,115.0,415.0,3065.0,10.0,225.0,64.3%,2.4%,26.0,,27.0,2.0,tm,0.0,12.0,2012.0,2023.0,195.051,273.54,"{'Titans': 122.5, 'Dolphins': 72.551}",both
Jim Everett,34837.0,1986-1997,3TM,2841.0,4923.0,203.0,78.6,175.0,257.0,1885.0,13.0,220.5,57.7%,3.6%,11.0,,14.0,3.0,tm,0.0,12.0,,,,,,left_only
Jim Hart,34665.0,1966-1984,2TM,2593.0,5076.0,209.0,66.6,247.0,282.0,2305.0,,172.5,51.1%,4.9%,20.0,95.0,23.0,2.0,tm,0.0,19.0,,,,,,left_only
Jim Hart,,1966-1984,crd,,,,,,,,12.0,,,,,,,1.0,CRD,0.0,19.0,,,,,,left_only
Steve DeBerg,34241.0,1978-1998,6TM,2874.0,5024.0,196.0,74.2,204.0,296.0,2469.0,,166.2,57.2%,4.1%,19.0,,24.0,6.0,tm,0.0,21.0,,,,,,left_only
Steve DeBerg,,1978-1998,4TM,,,,,,,,20.0,,,,,,,4.0,tm,0.0,21.0,,,,,,left_only
Tony Romo,34183.0,2004-2016,dal,2829.0,4335.0,248.0,97.1,117.0,248.0,1672.0,13.0,219.1,65.3%,2.7%,24.0,95.0,29.0,1.0,DAL,0.0,13.0,2003.0,2016.0,127.42,262.688,{'Cowboys': 127.42},both
John Hadl,33503.0,1962-1977,4TM,2363.0,4687.0,244.0,67.4,268.0,284.0,2595.0,13.0,149.6,50.4%,5.7%,15.0,106.0,15.0,4.0,tm,0.0,16.0,,,,,,left_only
Phil Simms,33462.0,1979-1993,nyg,2576.0,4647.0,199.0,78.5,157.0,477.0,3418.0,13.0,204.0,55.4%,3.4%,11.0,,17.0,1.0,NYG,0.0,15.0,,,,,,left_only
Steve Young,33124.0,1985-1999,2TM,2667.0,4149.0,232.0,96.8,107.0,358.0,2055.0,,196.0,64.3%,2.6%,13.0,132.0,16.0,2.0,tm,1.0,15.0,1985.0,1999.0,49.372,180.175,"{'49ers': 47.68, 'Buccaneers': 1.692}",both
Steve Young,,1985-1999,sfo,,,,,,,,4.0,,,,,,,1.0,SFO,1.0,15.0,1985.0,1999.0,49.372,180.175,"{'49ers': 47.68, 'Buccaneers': 1.692}",both
Y.A. Tittle,33070.0,1948-1964,3TM,2427.0,4395.0,242.0,74.3,248.0,167.0,3571.0,9.0,162.1,55.2%,5.6%,24.0,,23.0,3.0,tm,1.0,17.0,,,,,,left_only
Troy Aikman,32942.0,1989-2000,dal,2898.0,4715.0,165.0,81.6,141.0,259.0,1748.0,12.0,199.6,61.5%,3.0%,15.0,96.0,20.0,1.0,DAL,1.0,12.0,1989.0,2000.0,55.537,197.189,{'Cowboys': 55.537},both
Ken Anderson,32838.0,1971-1986,cin,2654.0,4475.0,197.0,81.9,160.0,398.0,2875.0,8.0,171.0,59.3%,3.6%,10.0,120.0,14.0,1.0,CIN,0.0,16.0,,,,,,left_only
Cam Newton,32382.0,2011-2021,2TM,2682.0,4474.0,194.0,85.2,123.0,332.0,2477.0,12.0,218.8,59.9%,2.7%,16.0,115.0,20.0,2.0,tm,0.0,11.0,2011.0,2021.0,134.735,222.469,"{'Panthers': 127.385, 'Patriots': 7.35}",both
Kurt Warner,32344.0,1998-2009,3TM,2666.0,4070.0,208.0,93.7,128.0,260.0,1669.0,,260.8,65.5%,3.1%,7.0,96.0,11.0,3.0,tm,1.0,12.0,1997.0,2009.0,63.859,208.978,"{'Cardinals': 31.5, 'Rams': 29.354, 'Giants': 3.0, 'Packers': 0.005}",both
Kurt Warner,,1998-2009,2TM,,,,,,,,15.0,,,,,,,2.0,tm,1.0,12.0,1997.0,2009.0,63.859,208.978,"{'Cardinals': 31.5, 'Rams': 29.354, 'Giants': 3.0, 'Packers': 0.005}",both
Sonny Jurgensen,32224.0,1957-1974,2TM,2433.0,4262.0,255.0,82.6,189.0,294.0,2541.0,15.0,147.8,57.1%,4.4%,18.0,105.0,14.0,2.0,tm,1.0,18.0,,,,,,left_only
Mark Brunell,32072.0,1994-2011,5TM,2761.0,4640.0,184.0,84.0,108.0,390.0,2395.0,,166.2,59.5%,2.3%,16.0,96.0,22.0,5.0,tm,0.0,18.0,1993.0,2011.0,70.638,279.308,"{'Jaguars': 47.9, 'Commanders': 17.485, 'Saints': 3.44, 'Jets': 1.5, 'Packers': 0.313}",both
Mark Brunell,,1994-2011,3TM,,,,,,,,14.0,,,,,,,3.0,tm,0.0,18.0,1993.0,2011.0,70.638,279.308,"{'Jaguars': 47.9, 'Commanders': 17.485, 'Saints': 3.44, 'Jets': 1.5, 'Packers': 0.313}",both
John Brodie,31548.0,1957-1973,sfo,2469.0,4491.0,214.0,72.3,224.0,207.0,1855.0,13.0,157.0,55.0%,5.0%,21.0,99.0,22.0,1.0,SFO,0.0,17.0,,,,,,left_only
