player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay,player_nfl,draft_yr,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ,team_names,teams,hof_yr,_merge
Zach Terrell,Western Michigan,157.0,3.0,2013.0,2016.0,908,1387,65.5,12088,96,,1664,12708,109,8.7,9.1,,246.7,7.6,Zach Terrell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Ravens'],0,0.0,both
Russell Wilson,Wisconsin,147.2,3.0,2008.0,2011.0,907,1489,,11720,109,,1930,13141,133,,8.4,,234.4,6.8,Russell Wilson,2012.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Seahawks', 'Broncos']","['Seattle Seahawks 2012-2021', 'Denver Broncos 2022-2023', 'Pittsburgh Steelers 2024']",0.0,both
Tajh Boyd,Clemson,155.2,3.0,2010.0,2013.0,901,1402,64.3,11904,107,,1907,13069,133,8.5,8.8,,253.3,6.9,Tajh Boyd,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Jets'],0,0.0,both
Spencer Rattler,South Carolina,152.2,4.0,2019.0,2023.0,900,1313,68.5,10807,77,,1610,11217,93,8.2,8.3,,,7.0,Spencer Rattler,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Saints'],0,0.0,both
Sean Renfree,Duke,,3.0,2009.0,2012.0,898,1389,64.7,9465,,40,1542,,,,,,,,Sean Renfree,2013.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Falcons', 'Buccaneers']",0,0.0,both
Carson Palmer,USC,,4.0,1998.0,2002.0,895,1515,,11388,71,49,1758,11289,80,,,,,,Carson Palmer,2003.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Bengals', 'Cardinals', 'Raiders']","['Cincinnati Bengals 2004-2010', 'Oakland Raiders 2011-2012', 'Arizona Cardinals 2013-2017']",0.0,both
Sefo Liufau,Colorado,,3.0,2013.0,2016.0,888,1412,62.9,9763,,,1793,10702,,,,,,,Sefo Liufau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Buccaneers'],0,0.0,both
Drew Lock,Missouri,,3.0,2015.0,2018.0,883,1553,,12193,99,,1756,12630,109,,,13.8,243.9,7.2,Drew Lock,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Broncos', 'Seahawks', 'Giants']",0,0.0,both
Riley Neal,Vanderbilt,,4.0,2015.0,2019.0,880,1477,,,,,1855,10399,,,,,,,Riley Neal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Broncos'],0,0.0,both
Cody Fajardo,Nevada,,3.0,2011.0,2014.0,878,1348,65.1,9659,,,1984,13141,101,,,,,6.6,Cody Fajardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Raiders'],0,0.0,both
