player,team,draft,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ
Josh McCown,Undrafted,2002,1,0,0,0,1,1,1,1
Justin Fields,Chicago Bears,2021,1,0,0,0,1,1,0,1
Justin Herbert,Los Angeles Chargers,2020,1,0,0,0,1,1,0,1
Ken Anderson,Cincinnati Bengals,1971,1,0,1,1,1,0,1,1
Ken O'Brien,New York Jets,1983,1,0,0,1,1,0,1,1
Ken Stabler,Oakland Raiders,1968,1,1,1,1,1,0,1,1
Kerry Collins,Carolina Panthers,1995,1,0,0,1,1,0,1,1
Kirk Cousins,Washington Redskins,2012,1,0,0,1,1,1,0,1
Kordell Stewart,Pittsburgh Steelers,1995,1,0,1,0,1,0,1,1
Kurt Warner,Undrafted,1997,1,1,1,1,1,1,1,1
Kyle Allen,Undrafted,2018,1,0,0,0,1,1,0,1
Kyle Orton,Chicago Bears,2005,1,0,1,0,1,1,1,1
Kyler Murray,Arizona Cardinals,2019,1,0,0,1,1,1,0,1
Lamar Jackson,Baltimore Ravens,2018,1,0,0,1,1,1,0,1
Len Dawson,Pittsburgh Steelers,1957,1,1,1,1,1,0,1,1
Lynn Dickey,Houston Oilers,1971,1,0,0,0,1,0,1,1
Mac Jones,Jacksonville Jaguars,2005,1,0,0,0,0,1,1,1
Marc Bulger,New Orleans Saints,2000,1,0,0,1,1,0,1,1
Marc Wilson,Oakland Raiders,1980,1,0,1,0,1,0,1,1
Marcus Mariota,Tennessee Titans,2010,1,0,0,0,1,1,1,1
Mark Brunell,Green Bay Packers,1993,1,0,1,1,1,1,1,1
Mark Rypien,Washington Redskins,1986,1,0,1,1,1,0,1,1
Mark Sanchez,New York Jets,2009,1,0,1,0,1,1,1,1
Matt Barkley,Philadelphia Eagles,2013,1,0,0,0,1,1,0,1
Matt Cassel,New England Patriots,2005,1,0,0,0,1,1,1,1
Matt Flynn,Green Bay Packers,2008,1,0,0,0,1,1,0,1
Matt Hasselbeck,Green Bay Packers,1998,1,0,1,1,1,1,1,1
Matt Moore,San Francisco 49ers,1974,1,0,0,0,0,1,1,1
Matt Ryan,Atlanta Falcons,2008,1,0,1,1,1,1,1,1
Matt Schaub,Atlanta Falcons,2004,1,0,1,1,1,1,1,1
Matt Stafford,Detroit Lions,2009,1,0,0,1,1,1,0,1
Matthew Stafford,Detroit Lions,2009,1,0,0,1,1,0,0,1
Michael Vick,Atlanta Falcons,2001,1,0,1,1,1,1,1,1
Mike Phipps,Cleveland Browns,1970,1,0,1,0,0,0,1,1
Mike Tomczak,Undrafted,0,1,0,1,0,1,0,1,1
Milt Plum,Cleveland Browns,1957,1,0,1,1,1,0,1,1
Mitchell Trubisky,Chicago Bears,2017,1,0,0,0,1,1,0,1
Neil Lomax,St. Louis Cardinals,1981,1,0,0,1,1,0,1,1
Neil O'Donnell,Pittsburgh Steelers,1990,1,0,1,0,1,0,1,1
Nick Foles,Philadelphia Eagles,2012,1,0,0,0,1,1,1,1
Nick Mullens,Undrafted,2017,1,0,0,0,1,1,0,1
Norm Snead,Washington Redskins,1961,1,0,0,1,1,0,1,1
Norm Van Brocklin,Los Angeles Rams,1949,1,1,1,1,1,0,1,1
Otto Graham,Detroit Lions,1944,1,1,1,1,1,0,1,0
Pat Haden,Los Angeles Rams,1975,1,0,1,0,0,0,1,1
Patrick Mahomes,Kansas City Chiefs,2017,1,0,0,1,1,1,0,1
Peyton Manning,Indianapolis Colts,1998,1,1,1,1,1,1,1,1
Phil Simms,New York Giants,1979,1,0,1,1,1,0,1,1
Philip Rivers,New York Giants,2004,1,0,1,1,1,1,1,1
Randall Cunningham,Philadelphia Eagles,1985,1,0,1,1,1,0,1,1
Rich Gannon,New England Patriots,1987,1,0,1,1,1,0,1,1
Richard Todd,New York Jets,1976,1,0,0,0,1,0,1,1
Rob Johnson,Jacksonville Jaguars,1995,1,0,0,0,1,1,0,1
Robert Griffin III,Undrafted,2012,1,0,0,0,0,1,1,1
Rodney Peete,Detroit Lions,1989,1,0,1,0,1,0,1,1
Roger Staubach,Kansas City Chiefs,1964,1,1,1,1,1,0,1,1
Roman Gabriel,Oakland Raiders,1962,1,0,1,1,1,0,1,1
Ron Jaworski,Los Angeles Rams,1973,1,0,1,0,1,0,1,1
Rudy Bukich,Los Angeles Rams,1953,1,0,0,0,1,0,1,1
Russell Wilson,Seattle Seahawks,2012,1,0,1,1,1,1,1,1
Ryan Fitzpatrick,St. Louis Rams,2005,1,0,0,0,1,1,1,1
Ryan Nassib,New York Giants,2013,1,0,0,0,1,1,0,1
Ryan Tannehill,Miami Dolphins,2012,1,0,1,0,1,1,1,1
Sam Bradford,St. Louis Rams,2010,1,0,0,0,1,1,1,1
Sam Darnold,New York Jets,2018,1,0,0,0,1,1,0,1
Sammy Baugh,Washington Redskins,1937,1,0,0,1,1,0,1,0
Scott Mitchell,Miami Dolphins,1990,1,0,0,0,1,0,1,1
Scott Tolzien,Undrafted,2016,1,0,0,0,1,1,0,1
Shaun Hill,Undrafted,2002,1,0,0,0,0,1,1,1
Sid Luckman,Chicago Bears,1939,1,0,0,1,1,0,1,0
Sonny Jurgensen,Philadelphia Eagles,1957,1,1,0,1,1,0,1,1
Stan Humphries,Washington Redskins,1988,1,0,1,0,1,0,1,1
Steve Bartkowski,Atlanta Falcons,1975,1,0,0,1,1,0,1,1
Steve Beuerlein,Los Angeles Raiders,1987,1,0,0,0,1,0,1,1
Steve DeBerg,Dallas Cowboys,1977,1,0,0,0,1,0,1,1
Steve Grogan,New England Patriots,1975,1,0,1,0,1,0,1,1
Steve McNair,Houston Oilers,1995,1,0,1,1,1,1,1,1
Steve Young,Tampa Bay Buccaneers,1985,1,1,1,1,1,1,1,1
Tarvaris Jackson,Minnesota Vikings,2006,1,0,0,0,0,1,1,1
Taylor Heinicke,Undrafted,2015,1,0,0,0,1,1,0,1
Teddy Bridgewater,Minnesota Vikings,2014,1,0,1,0,1,1,1,1
Terry Bradshaw,Pittsburgh Steelers,1970,1,1,1,1,1,0,1,1
Tim Couch,Cleveland Browns,1999,1,0,0,0,0,1,1,1
Tobin Rote,Green Bay Packers,1950,1,0,0,1,1,0,1,1
Tom Brady,New England Patriots,2000,1,1,1,1,1,1,1,1
Tom Flores,Undrafted,0,1,1,0,0,1,0,1,1
Tommy Kramer,Minnesota Vikings,1977,1,0,0,0,1,0,1,1
Tony Banks,St. Louis Rams,1996,1,0,0,0,1,0,1,1
